InvoiceId,ChargePeriodStart,ChargePeriodEnd,ProviderName,ServiceName,ConsumedQuantity,ConsumedUnit,PricingCurrency,PricingCurrencyListUnitPrice,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,BillingCurrency,ListCost,EffectiveCost,BillingAccountId,BillingAccountType,SubAccountType,RegionId
AZU-9936,2024-06-16,2024-06-17,Azure,Blob Storage,32,Hours,USD,2.73,2.37,75.97,USD,88.87,81.74,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-2447,2024-06-16,2024-06-17,Azure,Functions,50,Hours,USD,4.33,4.23,211.41,USD,219.59,172.75,Az-Account,Billing Account,Subscription,Azure-us-east-1
GCP-1686,2024-06-16,2024-06-17,GCP,Compute Engine,18,Hours,USD,13.93,12.83,230.94,USD,252.15,214.17,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-2200,2024-06-16,2024-06-17,GCP,Cloud Storage,38,Hours,USD,1.12,0.99,37.73,USD,45.21,36.15,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-2898,2024-06-16,2024-06-17,GCP,Cloud Functions,100,Hours,USD,0.52,0.47,46.61,USD,51.59,43.74,GC-Account,Billing Account,Project,GCP-us-east-1
SNO-6571,2024-06-16,2024-06-17,Snowflake,Warehouse,81,Credit,USD,2.87,2.54,206.1,USD,233.34,209.49,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
SNO-3604,2024-06-16,2024-06-17,Snowflake,Storage,53,Credit,USD,3.29,2.97,157.25,USD,175.82,123.68,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
DAT-8675,2024-06-16,2024-06-17,Databricks,Jobs,82,Credit,USD,0.72,0.63,51.67,USD,59.67,43.8,Da-Account,Billing Account,Subscription,Databricks-us-east-1
DAT-7934,2024-06-16,2024-06-17,Databricks,Clusters,30,Credit,USD,1.52,1.42,42.67,USD,49.62,35.14,Da-Account,Billing Account,Subscription,Databricks-us-east-1
OPE-3939,2024-06-16,2024-06-17,OpenAI,GPT-4 API,32,Credit,USD,8.76,8.5,272.14,USD,298.0,280.8,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
OPE-6602,2024-06-16,2024-06-17,OpenAI,Embedding API,25,Credit,USD,10.45,9.99,249.86,USD,271.92,222.89,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
AWS-2724,2024-06-17,2024-06-18,AWS,EC2,92,Hours,USD,0.58,0.52,48.17,USD,55.03,50.64,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-5725,2024-06-17,2024-06-18,AWS,S3,82,Hours,USD,0.29,0.28,23.34,USD,24.32,21.7,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-9374,2024-06-17,2024-06-18,AWS,Lambda,94,Hours,USD,2.86,2.54,239.11,USD,281.58,262.72,AW-Account,Payer Account,Subscription,AWS-us-east-1
AZU-1137,2024-06-17,2024-06-18,Azure,VM,54,Hours,USD,5.12,4.98,269.02,USD,280.54,207.3,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-2582,2024-06-17,2024-06-18,Azure,Blob Storage,38,Hours,USD,0.84,0.74,28.07,USD,32.73,27.26,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-8552,2024-06-17,2024-06-18,Azure,Functions,72,Hours,USD,0.55,0.5,35.68,USD,41.14,38.83,Az-Account,Billing Account,Subscription,Azure-us-east-1
GCP-8122,2024-06-17,2024-06-18,GCP,Compute Engine,51,Hours,USD,0.6,0.59,29.86,USD,33.22,24.26,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-3251,2024-06-17,2024-06-18,GCP,Cloud Storage,79,Hours,USD,1.44,1.4,110.28,USD,118.93,97.52,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-3976,2024-06-17,2024-06-18,GCP,Cloud Functions,60,Hours,USD,3.22,2.77,165.91,USD,195.38,151.99,GC-Account,Billing Account,Project,GCP-us-east-1
SNO-5176,2024-06-17,2024-06-18,Snowflake,Warehouse,92,Credit,USD,0.35,0.34,31.13,USD,32.54,23.37,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
SNO-6438,2024-06-17,2024-06-18,Snowflake,Storage,96,Credit,USD,0.87,0.85,81.3,USD,86.85,71.17,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
DAT-8024,2024-06-17,2024-06-18,Databricks,Jobs,36,Credit,USD,4.63,4.2,151.1,USD,183.09,159.35,Da-Account,Billing Account,Subscription,Databricks-us-east-1
DAT-8088,2024-06-17,2024-06-18,Databricks,Clusters,82,Credit,USD,0.83,0.74,60.46,USD,73.69,61.13,Da-Account,Billing Account,Subscription,Databricks-us-east-1
OPE-3554,2024-06-17,2024-06-18,OpenAI,GPT-4 API,59,Credit,USD,3.85,3.36,198.05,USD,230.99,184.8,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
OPE-9104,2024-06-17,2024-06-18,OpenAI,Embedding API,53,Credit,USD,1.09,0.97,51.49,USD,58.41,46.8,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
AWS-8864,2024-06-18,2024-06-19,AWS,EC2,23,Hours,USD,2.19,2.01,46.26,USD,54.02,39.04,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-5932,2024-06-18,2024-06-19,AWS,S3,93,Hours,USD,0.26,0.24,22.44,USD,25.64,22.18,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-2124,2024-06-18,2024-06-19,AWS,Lambda,29,Hours,USD,8.43,8.24,238.93,USD,258.27,190.1,AW-Account,Payer Account,Subscription,AWS-us-east-1
AZU-5574,2024-06-18,2024-06-19,Azure,VM,37,Hours,USD,0.7,0.66,24.43,USD,26.69,22.33,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-5800,2024-06-18,2024-06-19,Azure,Blob Storage,78,Hours,USD,3.1,2.7,210.22,USD,264.06,224.04,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-8470,2024-06-18,2024-06-19,Azure,Functions,82,Hours,USD,2.65,2.46,201.58,USD,218.19,194.01,Az-Account,Billing Account,Subscription,Azure-us-east-1
GCP-1287,2024-06-18,2024-06-19,GCP,Compute Engine,68,Hours,USD,2.76,2.62,178.1,USD,199.71,141.2,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-6292,2024-06-18,2024-06-19,GCP,Cloud Storage,29,Hours,USD,8.71,7.53,218.33,USD,262.59,213.6,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-6447,2024-06-18,2024-06-19,GCP,Cloud Functions,97,Hours,USD,0.56,0.55,52.97,USD,55.11,46.61,GC-Account,Billing Account,Project,GCP-us-east-1
SNO-7196,2024-06-18,2024-06-19,Snowflake,Warehouse,64,Credit,USD,3.82,3.63,232.08,USD,248.02,178.43,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
SNO-1876,2024-06-18,2024-06-19,Snowflake,Storage,95,Credit,USD,1.99,1.78,169.48,USD,207.26,157.62,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
DAT-5178,2024-06-18,2024-06-19,Databricks,Jobs,35,Credit,USD,5.26,5.08,177.68,USD,185.48,155.39,Da-Account,Billing Account,Subscription,Databricks-us-east-1
DAT-5933,2024-06-18,2024-06-19,Databricks,Clusters,17,Credit,USD,7.16,6.87,116.87,USD,124.53,106.26,Da-Account,Billing Account,Subscription,Databricks-us-east-1
OPE-6787,2024-06-18,2024-06-19,OpenAI,GPT-4 API,44,Credit,USD,2.72,2.45,107.95,USD,130.94,104.2,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
OPE-9425,2024-06-18,2024-06-19,OpenAI,Embedding API,77,Credit,USD,1.78,1.61,124.34,USD,147.61,115.08,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
AWS-2343,2024-06-19,2024-06-20,AWS,EC2,55,Hours,USD,5.42,5.27,289.6,USD,315.71,275.19,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-1397,2024-06-19,2024-06-20,AWS,S3,70,Hours,USD,4.17,3.97,278.17,USD,310.26,246.85,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-5317,2024-06-19,2024-06-20,AWS,Lambda,88,Hours,USD,0.47,0.46,40.65,USD,45.68,34.11,AW-Account,Payer Account,Subscription,AWS-us-east-1
AZU-2609,2024-06-19,2024-06-20,Azure,VM,65,Hours,USD,2.34,2.05,132.94,USD,152.57,143.76,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-7517,2024-06-19,2024-06-20,Azure,Blob Storage,100,Hours,USD,1.84,1.63,162.8,USD,193.8,177.61,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-7104,2024-06-19,2024-06-20,Azure,Functions,73,Hours,USD,2.35,2.09,152.61,USD,182.51,132.28,Az-Account,Billing Account,Subscription,Azure-us-east-1
GCP-1984,2024-06-19,2024-06-20,GCP,Compute Engine,36,Hours,USD,1.58,1.35,48.42,USD,57.84,46.03,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-2112,2024-06-19,2024-06-20,GCP,Cloud Storage,89,Hours,USD,1.59,1.52,135.09,USD,142.38,111.66,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-9784,2024-06-19,2024-06-20,GCP,Cloud Functions,76,Hours,USD,2.29,2.04,155.2,USD,181.84,154.63,GC-Account,Billing Account,Project,GCP-us-east-1
SNO-6236,2024-06-19,2024-06-20,Snowflake,Warehouse,69,Credit,USD,3.53,3.03,209.06,USD,247.51,203.29,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
SNO-4899,2024-06-19,2024-06-20,Snowflake,Storage,58,Credit,USD,1.75,1.53,88.82,USD,106.35,79.6,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
DAT-9384,2024-06-19,2024-06-20,Databricks,Jobs,65,Credit,USD,4.21,3.82,248.14,USD,282.42,203.76,Da-Account,Billing Account,Subscription,Databricks-us-east-1
DAT-4208,2024-06-19,2024-06-20,Databricks,Clusters,47,Credit,USD,4.04,3.82,179.65,USD,192.7,171.97,Da-Account,Billing Account,Subscription,Databricks-us-east-1
OPE-7979,2024-06-19,2024-06-20,OpenAI,GPT-4 API,70,Credit,USD,1.78,1.65,115.21,USD,127.9,102.31,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
OPE-8831,2024-06-19,2024-06-20,OpenAI,Embedding API,51,Credit,USD,1.31,1.24,63.11,USD,73.02,52.73,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
AWS-7747,2024-06-20,2024-06-21,AWS,EC2,15,Hours,USD,15.3,14.3,214.53,USD,229.57,169.86,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-5111,2024-06-20,2024-06-21,AWS,S3,90,Hours,USD,3.23,2.77,249.23,USD,307.74,276.99,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-5350,2024-06-20,2024-06-21,AWS,Lambda,44,Hours,USD,0.63,0.59,26.04,USD,29.08,22.44,AW-Account,Payer Account,Subscription,AWS-us-east-1
AZU-2842,2024-06-20,2024-06-21,Azure,VM,68,Hours,USD,1.4,1.26,85.37,USD,102.31,83.2,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-1640,2024-06-20,2024-06-21,Azure,Blob Storage,24,Hours,USD,1.41,1.3,31.3,USD,36.34,31.82,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-8501,2024-06-20,2024-06-21,Azure,Functions,65,Hours,USD,4.12,3.64,236.47,USD,268.34,252.67,Az-Account,Billing Account,Subscription,Azure-us-east-1
GCP-6769,2024-06-20,2024-06-21,GCP,Compute Engine,44,Hours,USD,3.78,3.55,156.12,USD,176.18,148.36,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-4192,2024-06-20,2024-06-21,GCP,Cloud Storage,86,Hours,USD,0.66,0.57,49.07,USD,57.54,46.97,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-2048,2024-06-20,2024-06-21,GCP,Cloud Functions,85,Hours,USD,2.96,2.89,245.62,USD,258.34,182.35,GC-Account,Billing Account,Project,GCP-us-east-1
SNO-8489,2024-06-20,2024-06-21,Snowflake,Warehouse,95,Credit,USD,1.79,1.65,156.69,USD,182.41,158.23,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
SNO-7034,2024-06-20,2024-06-21,Snowflake,Storage,16,Credit,USD,12.08,11.05,176.87,USD,211.5,163.96,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
DAT-4293,2024-06-20,2024-06-21,Databricks,Jobs,92,Credit,USD,1.77,1.63,150.15,USD,174.73,154.72,Da-Account,Billing Account,Subscription,Databricks-us-east-1
DAT-2770,2024-06-20,2024-06-21,Databricks,Clusters,79,Credit,USD,0.54,0.52,41.11,USD,44.99,34.25,Da-Account,Billing Account,Subscription,Databricks-us-east-1
OPE-3484,2024-06-20,2024-06-21,OpenAI,GPT-4 API,40,Credit,USD,6.01,5.37,214.96,USD,251.3,197.56,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
OPE-7727,2024-06-20,2024-06-21,OpenAI,Embedding API,65,Credit,USD,1.17,1.04,67.33,USD,82.59,73.68,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
AWS-8759,2024-06-21,2024-06-22,AWS,EC2,13,Hours,USD,16.88,15.4,200.22,USD,223.1,196.6,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-3569,2024-06-21,2024-06-22,AWS,S3,65,Hours,USD,2.67,2.46,160.22,USD,178.64,134.76,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-9323,2024-06-21,2024-06-22,AWS,Lambda,63,Hours,USD,1.53,1.48,93.22,USD,99.89,80.06,AW-Account,Payer Account,Subscription,AWS-us-east-1
AZU-3715,2024-06-21,2024-06-22,Azure,VM,89,Hours,USD,2.74,2.45,217.79,USD,263.09,220.77,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-7814,2024-06-21,2024-06-22,Azure,Blob Storage,88,Hours,USD,0.48,0.45,39.63,USD,45.0,35.69,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-9096,2024-06-21,2024-06-22,Azure,Functions,86,Hours,USD,2.27,2.18,187.27,USD,213.48,187.53,Az-Account,Billing Account,Subscription,Azure-us-east-1
GCP-1817,2024-06-21,2024-06-22,GCP,Compute Engine,46,Hours,USD,4.8,4.44,204.45,USD,236.61,193.1,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-5451,2024-06-21,2024-06-22,GCP,Cloud Storage,40,Hours,USD,2.07,1.88,75.23,USD,85.02,63.62,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-4396,2024-06-21,2024-06-22,GCP,Cloud Functions,65,Hours,USD,2.37,2.31,150.43,USD,167.51,156.85,GC-Account,Billing Account,Project,GCP-us-east-1
SNO-5672,2024-06-21,2024-06-22,Snowflake,Warehouse,50,Credit,USD,1.47,1.35,67.42,USD,76.55,62.14,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
SNO-8880,2024-06-21,2024-06-22,Snowflake,Storage,75,Credit,USD,3.21,3.04,227.66,USD,264.58,223.52,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
DAT-9580,2024-06-21,2024-06-22,Databricks,Jobs,18,Credit,USD,15.96,15.07,271.31,USD,303.86,252.78,Da-Account,Billing Account,Subscription,Databricks-us-east-1
DAT-3303,2024-06-21,2024-06-22,Databricks,Clusters,70,Credit,USD,1.31,1.23,86.05,USD,97.49,72.19,Da-Account,Billing Account,Subscription,Databricks-us-east-1
OPE-7926,2024-06-21,2024-06-22,OpenAI,GPT-4 API,29,Credit,USD,3.06,2.84,82.48,USD,96.06,78.22,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
OPE-6032,2024-06-21,2024-06-22,OpenAI,Embedding API,37,Credit,USD,6.34,6.16,227.96,USD,243.31,170.79,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
AWS-3296,2024-06-22,2024-06-23,AWS,EC2,43,Hours,USD,2.22,1.9,81.62,USD,102.71,76.53,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-3035,2024-06-22,2024-06-23,AWS,S3,65,Hours,USD,3.0,2.59,168.19,USD,202.12,180.09,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-2477,2024-06-22,2024-06-23,AWS,Lambda,43,Hours,USD,6.42,5.9,253.61,USD,298.58,234.95,AW-Account,Payer Account,Subscription,AWS-us-east-1
AZU-4347,2024-06-22,2024-06-23,Azure,VM,77,Hours,USD,1.54,1.39,107.13,USD,122.91,87.25,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-3840,2024-06-22,2024-06-23,Azure,Blob Storage,11,Hours,USD,15.7,13.55,149.09,USD,174.49,123.91,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-6973,2024-06-22,2024-06-23,Azure,Functions,59,Hours,USD,3.7,3.63,214.0,USD,237.59,201.79,Az-Account,Billing Account,Subscription,Azure-us-east-1
GCP-7334,2024-06-22,2024-06-23,GCP,Compute Engine,97,Hours,USD,1.77,1.67,162.06,USD,175.95,152.78,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-1526,2024-06-22,2024-06-23,GCP,Cloud Storage,91,Hours,USD,2.43,2.18,198.03,USD,241.82,228.61,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-8204,2024-06-22,2024-06-23,GCP,Cloud Functions,29,Hours,USD,2.23,1.92,55.62,USD,66.91,50.01,GC-Account,Billing Account,Project,GCP-us-east-1
SNO-8914,2024-06-22,2024-06-23,Snowflake,Warehouse,24,Credit,USD,2.01,1.92,46.01,USD,51.08,40.16,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
SNO-3250,2024-06-22,2024-06-23,Snowflake,Storage,91,Credit,USD,1.14,1.11,100.93,USD,105.58,85.02,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
DAT-6403,2024-06-22,2024-06-23,Databricks,Jobs,45,Credit,USD,4.24,4.15,186.94,USD,200.39,176.14,Da-Account,Billing Account,Subscription,Databricks-us-east-1
DAT-2038,2024-06-22,2024-06-23,Databricks,Clusters,68,Credit,USD,2.9,2.61,177.42,USD,216.4,154.09,Da-Account,Billing Account,Subscription,Databricks-us-east-1
OPE-4641,2024-06-22,2024-06-23,OpenAI,GPT-4 API,18,Credit,USD,2.03,1.8,32.41,USD,40.17,29.18,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
OPE-8438,2024-06-22,2024-06-23,OpenAI,Embedding API,96,Credit,USD,0.94,0.86,82.93,USD,98.24,75.18,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
AWS-2593,2024-06-23,2024-06-24,AWS,EC2,63,Hours,USD,1.74,1.57,98.63,USD,119.17,107.27,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-2759,2024-06-23,2024-06-24,AWS,S3,81,Hours,USD,2.91,2.48,200.73,USD,248.87,198.56,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-4551,2024-06-23,2024-06-24,AWS,Lambda,23,Hours,USD,9.6,8.79,202.19,USD,231.67,218.19,AW-Account,Payer Account,Subscription,AWS-us-east-1
AZU-4264,2024-06-23,2024-06-24,Azure,VM,72,Hours,USD,3.74,3.46,248.88,USD,276.4,210.37,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-9110,2024-06-23,2024-06-24,Azure,Blob Storage,74,Hours,USD,4.01,3.51,259.95,USD,318.87,253.99,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-1781,2024-06-23,2024-06-24,Azure,Functions,38,Hours,USD,1.67,1.53,58.1,USD,69.17,50.67,Az-Account,Billing Account,Subscription,Azure-us-east-1
GCP-5367,2024-06-23,2024-06-24,GCP,Compute Engine,97,Hours,USD,2.5,2.25,218.53,USD,250.97,200.15,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-2787,2024-06-23,2024-06-24,GCP,Cloud Storage,60,Hours,USD,4.65,4.39,263.4,USD,303.78,255.94,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-5790,2024-06-23,2024-06-24,GCP,Cloud Functions,29,Hours,USD,7.65,6.79,197.04,USD,237.71,216.11,GC-Account,Billing Account,Project,GCP-us-east-1
SNO-1919,2024-06-23,2024-06-24,Snowflake,Warehouse,66,Credit,USD,1.9,1.66,109.8,USD,125.9,91.81,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
SNO-6711,2024-06-23,2024-06-24,Snowflake,Storage,41,Credit,USD,0.52,0.45,18.6,USD,21.96,17.7,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
DAT-8032,2024-06-23,2024-06-24,Databricks,Jobs,27,Credit,USD,1.58,1.43,38.71,USD,44.19,39.14,Da-Account,Billing Account,Subscription,Databricks-us-east-1
DAT-4345,2024-06-23,2024-06-24,Databricks,Clusters,37,Credit,USD,3.46,3.17,117.39,USD,136.46,100.84,Da-Account,Billing Account,Subscription,Databricks-us-east-1
OPE-1811,2024-06-23,2024-06-24,OpenAI,GPT-4 API,59,Credit,USD,3.04,2.63,154.97,USD,194.43,178.56,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
OPE-5646,2024-06-23,2024-06-24,OpenAI,Embedding API,27,Credit,USD,6.29,5.59,150.91,USD,170.83,141.82,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
AWS-2833,2024-06-24,2024-06-25,AWS,EC2,14,Hours,USD,8.24,7.1,99.44,USD,122.18,105.74,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-4983,2024-06-24,2024-06-25,AWS,S3,23,Hours,USD,2.81,2.45,56.41,USD,70.86,54.6,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-3433,2024-06-24,2024-06-25,AWS,Lambda,17,Hours,USD,15.69,15.33,260.6,USD,270.82,248.01,AW-Account,Payer Account,Subscription,AWS-us-east-1
AZU-1350,2024-06-24,2024-06-25,Azure,VM,38,Hours,USD,0.88,0.75,28.58,USD,33.77,28.86,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-9666,2024-06-24,2024-06-25,Azure,Blob Storage,87,Hours,USD,3.0,2.62,228.21,USD,267.88,192.68,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-4246,2024-06-24,2024-06-25,Azure,Functions,55,Hours,USD,2.65,2.34,128.47,USD,149.34,141.85,Az-Account,Billing Account,Subscription,Azure-us-east-1
GCP-8385,2024-06-24,2024-06-25,GCP,Compute Engine,11,Hours,USD,26.69,23.41,257.5,USD,296.29,280.55,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-5614,2024-06-24,2024-06-25,GCP,Cloud Storage,60,Hours,USD,3.97,3.71,222.85,USD,251.5,238.16,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-3269,2024-06-24,2024-06-25,GCP,Cloud Functions,91,Hours,USD,2.97,2.61,237.15,USD,290.39,209.29,GC-Account,Billing Account,Project,GCP-us-east-1
SNO-3311,2024-06-24,2024-06-25,Snowflake,Warehouse,78,Credit,USD,3.72,3.2,249.97,USD,316.46,275.95,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
SNO-8994,2024-06-24,2024-06-25,Snowflake,Storage,38,Credit,USD,1.18,1.02,38.8,USD,48.06,40.76,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
DAT-7035,2024-06-24,2024-06-25,Databricks,Jobs,11,Credit,USD,27.13,26.06,286.64,USD,324.83,270.61,Da-Account,Billing Account,Subscription,Databricks-us-east-1
DAT-8488,2024-06-24,2024-06-25,Databricks,Clusters,26,Credit,USD,10.58,9.93,258.09,USD,294.88,228.88,Da-Account,Billing Account,Subscription,Databricks-us-east-1
OPE-1724,2024-06-24,2024-06-25,OpenAI,GPT-4 API,69,Credit,USD,0.76,0.65,44.78,USD,52.67,38.32,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
OPE-6114,2024-06-24,2024-06-25,OpenAI,Embedding API,94,Credit,USD,2.98,2.77,260.34,USD,294.15,249.06,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
